formal_case_index,case_id,particle_row_count,observable_case_id_derived_from_frozen_index_matches_target,observable_particle_id_sequence_matches_target,observable_particle_state_hash_derived_from_registry_matches_target,silent_reorder_count,join_passed
156,MSO02A|PRIMARY|F2|44044acdcf25459cdccb35f1e2546f851a49b5cb8117f983cc8374b0b5f7e4d1,576,True,True,True,0,True
157,MSO02A|PRIMARY|F2|eddf331a3033c8ebade947800c5316f5498b42bbbe1ab37fa632f6f05c1bee2f,576,True,True,True,0,True
158,MSO02A|PRIMARY|F2|17e5833165bb966697933fcfbaf11f448a01fc4ac9fcf375d499617281248eb4,576,True,True,True,0,True
159,MSO02A|PRIMARY|F2|9ef4e9d74589ff304e54cd729188bf8906117b9a07bf6de925d5eb62fff9f3dd,576,True,True,True,0,True
160,MSO02A|PRIMARY|F2|93ebdd205498a053121ba0de56e9c2a7d9450afa758752b62611af74915f00cd,576,True,True,True,0,True
161,MSO02A|PRIMARY|F2|655a26fd32bf0b4878bca9d1d1f4b6a0ad67b55e93a306a95e01573706467869,576,True,True,True,0,True
162,MSO02A|PRIMARY|F2|51da2275ca149bb9f005cd4748f55954acc861704920a8411704bfeb61f39371,576,True,True,True,0,True
163,MSO02A|PRIMARY|F2|b5e16ab56f821283fd84d0acf39ad2a4eba1fc362bbcc24a08feb13cb1941a56,576,True,True,True,0,True
164,MSO02A|PRIMARY|F2|60bcdd7f31b148c0b1f50a33af559ae244601abfafddd2f0ddd226ea8f031f3b,576,True,True,True,0,True
165,MSO02A|PRIMARY|F2|652ac6008edd0b39625a2b5a24081eab9c449036ae3b5c356993264170e15845,576,True,True,True,0,True
166,MSO02A|PRIMARY|F2|9e51d4827e24f4769985a9170f0e396b66379e727a6157cbfbbca732bc881cf7,576,True,True,True,0,True
167,MSO02A|PRIMARY|F2|5a78825e9c6404e38cb84d19612e8adf07a98e64a17e1016f2f0a08532ca0ae0,576,True,True,True,0,True
168,MSO02A|PRIMARY|F2|edf599a38bfa550878d37b0fee080c1e2e07a398bddef0f55c8e22d0f97299eb,576,True,True,True,0,True
169,MSO02A|PRIMARY|F2|fb54ced9414231d2be5f7e3b8d07c8b96b9aca393ea7064c40a6dca0b3b23ed0,576,True,True,True,0,True
170,MSO02A|PRIMARY|F2|9d3b8ec6291d67905e774dadca3ba55df9d3922c6631a4f960f6357a79470c0d,576,True,True,True,0,True
171,MSO02A|PRIMARY|F2|510e17cf40fc1f4c35b88d1bc795f1025c3eb53d38cead5bafdca4da37495a6d,576,True,True,True,0,True
172,MSO02A|PRIMARY|F2|3c5a5097f443d9ce335a675d91da6b26fc186e67a558fb3fd602f9643e5fb3e6,576,True,True,True,0,True
173,MSO02A|PRIMARY|F2|853bf79caa10ada69899386cf6f404823d8d3401ba0a79d3f545b89807e97d7e,576,True,True,True,0,True
174,MSO02A|PRIMARY|F2|1a518feef9e3a00761303be277c0db0759536094346f8f3c609ea72acb48fead,576,True,True,True,0,True
175,MSO02A|PRIMARY|F2|607cbb86350a6ca93b26c9ae2fcf8e3e97323dd268cbfe4ccc623b7b32214021,576,True,True,True,0,True
176,MSO02A|PRIMARY|F2|3794f66286af93ff154378c138146f560f356aafada13087e75783bb506d745e,576,True,True,True,0,True
177,MSO02A|PRIMARY|F2|5fce35b38b7a48865d0b4b51f53caaaf072b2c40f657284a3558f275bcdb6b32,576,True,True,True,0,True
178,MSO02A|PRIMARY|F2|1cedb6086eb661871852ea69bb3cc212bfc9eadbf15e83745181af24d3ab06c0,576,True,True,True,0,True
179,MSO02A|PRIMARY|F2|8d4b8cc44b6fd2ec078d52f01bce3cbd31f428fdcda3e4068c852d3234743465,576,True,True,True,0,True
180,MSO02A|PRIMARY|F2|61f923961743d5d522f7a648b26c3fb0eeac2ebbee5a4c0fd22abb0b6fe90626,576,True,True,True,0,True
181,MSO02A|PRIMARY|F2|183dd768e7b6e8bc606f638fdc269677edf449e79ff4397d174304f458f9a5f3,576,True,True,True,0,True
182,MSO02A|PRIMARY|F2|2a6420738cc1cdb92b88ec771e30cd7099073224575a842943bc0d588ff721ef,576,True,True,True,0,True
183,MSO02A|PRIMARY|F2|c0547bbf991b080a121ebf851e68523a9f145b5b4d3e3e516a623e0907d12481,576,True,True,True,0,True
184,MSO02A|PRIMARY|F2|b2582bbaa68fc837d19284375ad1fd87badf6dc034da1f204a7517a5e98c2fe6,576,True,True,True,0,True
185,MSO02A|PRIMARY|F2|d64f8ea58c8df9634b6f1c912f013464a57a9afe3c6d28ec9c189425e0b279a2,576,True,True,True,0,True
186,MSO02A|PRIMARY|F2|05cda83f15ae72fdaaa5688bdf797d521ca943572f24be4ca85b26451b15937b,576,True,True,True,0,True
187,MSO02A|PRIMARY|F2|f64d1392bf509162551535f04b6599c289403e96c3f175a8a161d3d1088db8bd,576,True,True,True,0,True
