evidence_class,record_type,arm,scope_type,scope_id,covariance_eigenvalue,cumulative_variance_rank_90,cumulative_variance_rank_95,cumulative_variance_rank_99,diagnostic_only,exact_duplicate_burden,exact_duplicate_member_count,feature_dimension,fold_iqr_degenerate_feature_count,normalization_semantics,participation_ratio,row_count,singular_value,spectrum_index,stable_rank
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,84382008657033.8,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,1829830075.0373247,11,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,81144735634066.83,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,1794386555.332984,12,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,64353649794415.445,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,1597983987.3548186,13,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,41932733092474.28,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,1289918931.2159812,14,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,22977738352415.984,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,954859496.3783238,15,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,21393482200731.75,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,921354097.9042943,16,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,13871166317336.03,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,741894790.0288111,17,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,3296411787808.371,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,361665065.68956333,18,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,75589466.65175436,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,1731874.717391998,19,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,1116.5204727567902,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,6656.089870110637,20,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,48.01760374874164,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,1380.3400004165887,21,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,17.191951756675444,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,825.9398559852174,22,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,12.735174686895016,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,710.8668873818742,23,1.002959650033169
