geometry,selected_candidate_id,component,scope,scope_id,descriptor_distance_target_disagreement_spearman,spearman_status,k10_wn,matched_random_wb,candidate_c_d,cvar,within_neighbour_target_dispersion,near_collision_rate,status,comparison_to_u0,evidence_class
U0_MS,U0,viscosity_laplacian_acceleration,FOLD,FOLD_3,0.5451521516295246,EVALUABLE,0.0004979768712556261,0.00039658337908439305,1.2556675279869873,1.245237238914381,9.089147536143866e-05,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,viscosity_laplacian_acceleration,FOLD,FOLD_4,0.42577839704737197,EVALUABLE,0.00010082643281390276,0.00022994490040980086,0.438480838819269,0.23529882755571457,2.4321974137665288e-05,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,viscosity_laplacian_acceleration,FOLD,FOLD_5,0.14487935916506578,EVALUABLE,5.4293332828653604e-05,0.00015044055712222206,0.36089558472283645,0.20273704093373465,2.4721972423005043e-05,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,viscosity_laplacian_acceleration,FAMILY,F1,0.47126928408699215,EVALUABLE,0.00020978525086019415,0.0003502834620521685,0.598901385840906,0.39082393048884656,4.164499847126039e-05,0.0035603841145833335,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,viscosity_laplacian_acceleration,FAMILY,F2,0.12460599784411255,EVALUABLE,0.00013243841989294403,0.00016161559839363552,0.8194655788754578,0.4745671028233965,4.7210295098649954e-05,6.103515625e-05,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,viscosity_laplacian_acceleration,FAMILY,F3,-0.05109931115446264,EVALUABLE,9.654299061217891e-05,0.00018416440737117052,0.5242217646192798,0.26066308349801437,2.6688824820940968e-05,4.8828125e-05,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,viscosity_laplacian_acceleration,FAMILY,F4,0.5956469945718623,EVALUABLE,0.0002190882315464866,0.00019948546896832132,1.0982666190151336,0.8022616392448692,7.104337410985445e-05,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,viscosity_laplacian_acceleration,FAMILY_FOLD,F1|FOLD_0,0.3820341761939608,EVALUABLE,5.793015831489843e-05,0.0002681275640864873,0.21605446837316755,0.18583475172714095,2.0899542367937133e-05,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,viscosity_laplacian_acceleration,FAMILY_FOLD,F2|FOLD_0,0.4357203440309312,EVALUABLE,0.0001453815105196019,0.00018302006630199657,0.7943473819953256,0.41502394440789414,4.6674857254884315e-05,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,viscosity_laplacian_acceleration,FAMILY_FOLD,F3|FOLD_0,-0.16764719561239144,EVALUABLE,3.170245739319148e-05,0.00012601081619823646,0.25158520791832756,0.11638984770314963,1.3089556881380993e-05,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
