design_only_label,stratum,arm,component,case_count,candidate_c_wn,candidate_c_wb,candidate_c_d,cvar,near_collision_rate,model_input_authorized,status,oracle_residual_rms,oracle_status,evidence_class
fold,"""FOLD_2""",MS,pressure_gradient_acceleration,62,0.44536414206949265,1.5834642734972448,0.28125935616208114,0.24723519317762208,0.00042212701612903225,False,EVALUABLE,0.18776333113457075,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_2""",MS,viscosity_laplacian_acceleration,62,0.0001280073558621149,0.00016754859700815212,0.7640013592945016,0.5618950326821733,0.005682963709677419,False,EVALUABLE,0.0010360259305585507,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_3""",SS,density_rate,59,0.013804864705415441,0.032451395445996775,0.42540126597601885,0.2417511817937047,0.0,False,EVALUABLE,0.1128832573285163,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_3""",SS,pressure_gradient_acceleration,59,0.3563091794858912,1.7612022366054043,0.20231020156586477,0.06787379159533292,6.620762711864407e-06,False,EVALUABLE,0.2993025324361464,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_3""",SS,viscosity_laplacian_acceleration,59,0.0003536460436989295,0.0003699638779975037,0.9558934391462826,0.7426689505064884,0.0,False,EVALUABLE,0.008907843238949612,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_3""",MS,density_rate,59,0.004339871304457715,0.032451395445996775,0.1337345049361532,0.015972473856090033,0.0,False,EVALUABLE,0.06531636196266251,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_3""",MS,pressure_gradient_acceleration,59,0.3560738570186069,1.7612022366054043,0.20217658688925733,0.06773719102034051,9.931144067796611e-05,False,EVALUABLE,0.14669612775694466,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_3""",MS,viscosity_laplacian_acceleration,59,0.0004383457231196775,0.0003699638779975037,1.184833842407272,1.1065334105603466,0.0,False,EVALUABLE,0.003315703825189845,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_4""",SS,density_rate,59,0.005662830451536944,0.012131332577836988,0.4667937685495903,0.16614333426880018,0.0,False,EVALUABLE,0.06643822536074334,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_4""",SS,pressure_gradient_acceleration,59,0.33039695275968767,1.7190356269192113,0.19219901413667162,0.14775322936606777,0.00019862288135593222,False,EVALUABLE,0.4030533044088687,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_4""",SS,viscosity_laplacian_acceleration,59,0.00014838623685576558,0.00023374964585940147,0.6348083921590996,0.37464368746803944,0.0,False,EVALUABLE,0.00801882625404593,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_4""",MS,density_rate,59,0.0002612046983946249,0.012131332577836988,0.021531410232032203,0.004393882551696116,0.0,False,EVALUABLE,0.025210804833782026,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_4""",MS,pressure_gradient_acceleration,59,0.3207350748883341,1.7190356269192113,0.18657849195548262,0.14680058138135668,0.000211864406779661,False,EVALUABLE,0.11645934358234336,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
