arm,component,scope,scope_id,cvar,coverage_fraction,status,evidence_class,target_magnitude_p25,target_magnitude_p75,aggregation
SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|197d7ec024c0036b09ad028c746809cfe1ed712ccbb40eead96390c6dfdd817b,0.005886871239780652,0.9088541666666666,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,FROZEN_EQUAL_FOLD_FAMILY_CELL_CASE_MEAN
SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|197ff926eb3d0f9ff98b06347687987d9933c0c4a0832b79258c496c53405132,0.1469331490385432,1.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,FROZEN_EQUAL_FOLD_FAMILY_CELL_CASE_MEAN
SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|19bc9c15d585b69ea5a604b39577d278e2c7b171a2d899f0352dc2850b1dc0cb,3.5483152714251596e-29,1.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,FROZEN_EQUAL_FOLD_FAMILY_CELL_CASE_MEAN
SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|1a444bf8e4f5678b58a9ba1debf6e16323abf2899e40040f0bbc7e1608156e14,8.319761445406658e-15,1.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,FROZEN_EQUAL_FOLD_FAMILY_CELL_CASE_MEAN
SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|1b6f0cb3de33bc6abdb0882404222836bd00a9ad3c6fe2c95af35a87f0fa1200,0.0,1.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,FROZEN_EQUAL_FOLD_FAMILY_CELL_CASE_MEAN
SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|1d03c9c9f560219b53c739310adfe296cf8afec50561d01ce15be76ae73c1479,0.0,1.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,FROZEN_EQUAL_FOLD_FAMILY_CELL_CASE_MEAN
SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|1e499d17b9c103b93706f70e5fa2f7497086b8d1dab61b6d4e57ae6874e328ff,0.0,1.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,FROZEN_EQUAL_FOLD_FAMILY_CELL_CASE_MEAN
SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|20bbc33e3ce141e2f7eb99de3d0702689581411faf36ef6782c9dd4ff7bd0899,0.28043323036602763,1.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,FROZEN_EQUAL_FOLD_FAMILY_CELL_CASE_MEAN
SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|20fd9f4e76cc9e98a79b808be25ffb0cc4d95c0522637973fd5963586426d614,1.4157496699602153e-10,1.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,FROZEN_EQUAL_FOLD_FAMILY_CELL_CASE_MEAN
SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|21308456c1ed84c2854c7a093be1e48cf9af8d5768485e2a86892e0fd138af17,0.006058490454300663,1.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,FROZEN_EQUAL_FOLD_FAMILY_CELL_CASE_MEAN
SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|21b79bdb11d90c0a9b01efce71ed9eec0d7fba61736210c4c1ab358a9c4e965a,0.001804188332601842,1.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,FROZEN_EQUAL_FOLD_FAMILY_CELL_CASE_MEAN
SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|21dfb26365637485a590f4aa1b2a5297d551eab87745fb26abbdd41a0e1d8daa,0.023388251772977424,1.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,FROZEN_EQUAL_FOLD_FAMILY_CELL_CASE_MEAN
SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|226b761343bde11d0f8531972b4efd2a54f34c441ce74b43268bfdfde41542ed,0.0,1.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,FROZEN_EQUAL_FOLD_FAMILY_CELL_CASE_MEAN
SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|292cdf1c570d6fb417a11eb6a7d4d830f9162a0bf0e09496e15edbaa84e1f3f4,0.0,1.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,FROZEN_EQUAL_FOLD_FAMILY_CELL_CASE_MEAN
SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|29dc93f9e64f8875b47eb06f84606bc0c4a0e9315877441085164bd7870ebc8e,0.43905199273462614,0.90625,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,FROZEN_EQUAL_FOLD_FAMILY_CELL_CASE_MEAN
SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|2bf67fa14447cc7892bedcae7ba79ef420cf3b1aa476bde75527a097c9a5c922,0.0,1.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,FROZEN_EQUAL_FOLD_FAMILY_CELL_CASE_MEAN
SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|2d885ab8e36e98def0f3a036fab45f57940afd290e12c42ece2cbbf2a0b7faed,5.07852993795752e-31,1.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,FROZEN_EQUAL_FOLD_FAMILY_CELL_CASE_MEAN
SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|2e00a5aa730d3fe2629242ac9cb05445890c5ccd2cee3bc6b04bd3dcaa176cdc,0.6100644473472843,1.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,FROZEN_EQUAL_FOLD_FAMILY_CELL_CASE_MEAN
SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|3264ae7008b91adb6f4b677f3ecc13cbe5ab1143b7f33ef501525d095e0b618c,0.48496769665688705,0.7877604166666666,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,FROZEN_EQUAL_FOLD_FAMILY_CELL_CASE_MEAN
SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|3283083498700d830b6f9393659c16097acacaf984f6c43b70c65438a233286d,6.383421149602372e-32,1.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,FROZEN_EQUAL_FOLD_FAMILY_CELL_CASE_MEAN
SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|34168bb92814c253cb6b05f8022442aa6cab311b67f648a00b758da530873bc9,2.789260040857671e-10,1.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,FROZEN_EQUAL_FOLD_FAMILY_CELL_CASE_MEAN
