proxy_id,proxy_class,component,scope,scope_id,proxy_distance_target_disagreement_spearman,mean_proxy_neighbour_difference,mean_target_neighbour_disagreement,status,evidence_class
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,FOLD,FOLD_3,0.9962506309715332,8.457250275419838,0.3560738570186069,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,FOLD,FOLD_4,0.9753553244583405,7.166018464193044,0.32073507488833414,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,FOLD,FOLD_5,0.966422952194197,23.42046374646064,1.0730256043763253,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,FAMILY,F1,0.9833057904121979,8.277082319616406,0.7556186770620699,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,FAMILY,F2,0.9636577407504885,8.346048124010897,0.2790065620403904,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,FAMILY,F3,0.9892676452860399,14.74825345895552,0.42980472053979546,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,FAMILY,F4,0.9562868455756343,58.232092631120935,2.818800852248842,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,FAMILY_FOLD,F1|FOLD_0,0.9973061020607309,3.6443551866335704,0.10860280273119954,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_0,0.9266967914740696,8.121416763817791,0.2338912401729029,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,FAMILY_FOLD,F3|FOLD_0,0.9805190976955114,12.790999180793065,0.46170338157383445,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,FAMILY_FOLD,F4|FOLD_0,0.9417079973764648,46.1113213047121,2.474984190113828,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,FAMILY_FOLD,F1|FOLD_1,0.9696358214636311,12.369821928611678,2.926914464157351,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_1,0.9966785105446135,0.9057736719748417,0.00975653822670038,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,FAMILY_FOLD,F3|FOLD_1,0.9909394137447132,41.19599600447022,0.6328581399886903,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,FAMILY_FOLD,F4|FOLD_1,0.763678044246853,131.57344067217713,6.343809878078505,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,FAMILY_FOLD,F1|FOLD_2,0.9781255833875337,8.134003604847353,0.128554967981505,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_2,0.9454164614573819,7.931564143326775,0.2794160963013133,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
