arm,feature_index,feature_name,feature_dimension,finite_count,nonfinite_count,exact_constant,exact_duplicate_of,pairwise_exact_linear_dependency_of,linear_dependency_scalar_diagnostic,minimum,maximum,absolute_maximum,train_fold_iqr_degeneracy_count,column_sha256
MS,39,obs__L_0p75__density_rate,110,221184,0,False,,,,-3.196261745270843,3.196261745270841,3.196261745270843,0,713ccd88d9dc7fb098e7ba8150c20b6dbcf4e52c284bfa226e7a5a2a3b975fc2
MS,40,obs__L_0p75__pressure_acceleration_x,110,221184,0,False,,,,-33.43711988175745,33.20347732207119,33.43711988175745,6,97233354d026d71e6dd0c442fd80af4e81ad1e647ab7e64895201b134c24dc40
MS,41,obs__L_0p75__pressure_acceleration_y,110,221184,0,False,,,,-22.835331324686646,28.931684993432327,28.931684993432327,6,b742573abcef865d8eccb5f81863d274e197401b444272f2bb1a76893a5746a6
MS,42,obs__L_0p75__viscosity_acceleration_x,110,221184,0,False,,,,-0.6353581768006598,0.6353581768006598,0.6353581768006598,3,45cd7c1f946182adb8da844dc6f76508ac3889a0d4cbc1498612d7ae8dd55997
MS,43,obs__L_0p75__viscosity_acceleration_y,110,221184,0,False,,,,-0.6222715982512642,0.6222715982512645,0.6222715982512645,2,01320d90d5735f54e9348d884c6bee6b647da577e3f7bc93569cd70ddf8d02dd
MS,44,obs__delta_L_0p75__density_rate,110,221184,0,False,,,,-2.9351988888097993,2.9351988888098,2.9351988888098,0,4e1e39e45d41a4da44e5e0efc9adb6f77caf1868763694aa4507403f5194c46b
MS,45,obs__delta_L_0p75__pressure_acceleration_x,110,221184,0,False,,,,-24.606312560837356,24.41783277684208,24.606312560837356,6,133df8613c06f1fc1e624d62ef5ff3f08986f0efd233af3304df9460ce5458da
MS,46,obs__delta_L_0p75__pressure_acceleration_y,110,221184,0,False,,,,-22.11137854754565,22.105440299807114,22.11137854754565,6,232652430346b344ba4b6d967476ddc130e74ed64f1429a04e63765c829c32bf
MS,47,obs__delta_L_0p75__viscosity_acceleration_x,110,221184,0,False,,,,-0.6225782231121214,0.6225782231121214,0.6225782231121214,3,78bc944539601affb5b85ff2ee45514aed93b524e93d92393e36f91b83ec47cc
MS,48,obs__delta_L_0p75__viscosity_acceleration_y,110,221184,0,False,,,,-0.6026465483916392,0.6026465483916394,0.6026465483916394,2,1bc140d22c7b13b1ab55ddb5fbba0f80a14463a7a1f6920e02dc9101a2bc7ae9
MS,49,obs__G_0p75__density_rate,110,221184,0,False,,,,-2.6510343986911638,2.6510343986911646,2.6510343986911646,0,aeb164265c7e2c5102c6976f0f9ec244a8d3fc0da7c751b7193355be306b9f39
MS,50,obs__G_0p75__pressure_acceleration_x,110,221184,0,False,,,,-21.832786168647274,22.83445936468489,22.83445936468489,6,4ee93aae13017438f9ad889c4c87b9bda72d457be25753a066713a5496c9e512
MS,51,obs__G_0p75__pressure_acceleration_y,110,221184,0,False,,,,-20.910032820001454,20.90777575633328,20.910032820001454,6,99181ea059e510d262566f6233745cff35a15ab0bb6b12899030347c3e14850c
MS,52,obs__G_0p75__viscosity_acceleration_x,110,221184,0,False,,,,-0.5936211289814751,0.5936211289814751,0.5936211289814751,3,a56dea2aef862b5d07ec805a968a4d2d2965f347228be27e7c08ac6df01662dc
MS,53,obs__G_0p75__viscosity_acceleration_y,110,221184,0,False,,,,-0.5746165078578523,0.5746165078578526,0.5746165078578526,2,3e0b4857281a8ed15b49df2a9355e7b254aa703cd31e52d3ffb232a8d7e18808
MS,54,obs__L_1p25__density_rate,110,221184,0,False,,,,-0.47058541116060715,0.4705854111606089,0.4705854111606089,0,a7c1a853d02647f75309c9ac903af5a86bba3963f65cff5bd35ee87d3c8cb9d6
MS,55,obs__L_1p25__pressure_acceleration_x,110,221184,0,False,,,,-18.21985161004993,16.757601747211968,18.21985161004993,6,9f927028901589aee1204b88dc57b847990f8ff311d3a35ae4218d8fbaeb2661
MS,56,obs__L_1p25__pressure_acceleration_y,110,221184,0,False,,,,-15.537733294306362,17.61663004552417,17.61663004552417,6,576b6a94b7875a7b19e7492e4a12bc904bce70f1d6e598075f532b20f0bab3bf
MS,57,obs__L_1p25__viscosity_acceleration_x,110,221184,0,False,,,,-0.10158876299469928,0.10322874521182146,0.10322874521182146,3,c20bf35d69cadeb168e5b5c9c3123f857daea12883d9e7b0809e1525e7dffa50
MS,58,obs__L_1p25__viscosity_acceleration_y,110,221184,0,False,,,,-0.0867519997258249,0.07714474752874911,0.0867519997258249,2,9968c9bcfd0a98fa77008c1537818b6d804c2b44c221698ff2184b8da895f193
MS,59,obs__delta_L_1p25__density_rate,110,221184,0,False,,,,-0.5023409798404352,0.5023409798404344,0.5023409798404352,0,c4cef4e49cc4b748f0f096c0001af4d46e4e0a860fe995a022295f6851b1239d
MS,60,obs__delta_L_1p25__pressure_acceleration_x,110,221184,0,False,,,,-5.765336076905711,7.24820353123472,7.24820353123472,6,d029bd03082c27ad91d9a34d7c89aada70cc967f7eec58f8179f33a5566f1618
MS,61,obs__delta_L_1p25__pressure_acceleration_y,110,221184,0,False,,,,-6.822979186760588,5.628517863710039,6.822979186760588,6,3ef237a85403396f139d7baa19c22447203aedf5f0aa61ca9d08b051b70c5a65
MS,62,obs__delta_L_1p25__viscosity_acceleration_x,110,221184,0,False,,,,-0.056245311018910504,0.05624531101891045,0.056245311018910504,3,48b25673c923c3e27a261a85c97f92bee78afc8109e32679cfa753cf161de631
MS,63,obs__delta_L_1p25__viscosity_acceleration_y,110,221184,0,False,,,,-0.03985497058055387,0.03985497058055376,0.03985497058055387,2,6829d31d8587587451220fdb4d1ba25b4949d0d14a6900851e5b3e651338003b
MS,64,obs__G_1p25__density_rate,110,221184,0,False,,,,-0.9816647855860363,0.981664785586035,0.9816647855860363,0,c16b2e4d0d2996a2d4f5b402e7f18fdec3a233209dd168f637df4e63f14daa95
MS,65,obs__G_1p25__pressure_acceleration_x,110,221184,0,False,,,,-9.934069984307127,10.59344067816014,10.59344067816014,6,8398415564eac5283773876eb82aa4eaf7bab91c54680d5fa2ca0907a7683964
MS,66,obs__G_1p25__pressure_acceleration_y,110,221184,0,False,,,,-9.67861251070979,7.279151736018694,9.67861251070979,6,15f6e91eaff7b0cbe19310cab07b41a18ff778bc7940f2192d65a979c7e9e0e8
MS,67,obs__G_1p25__viscosity_acceleration_x,110,221184,0,False,,,,-0.11522267967507,0.11522267967506994,0.11522267967507,3,218788f549eb929a63194243b6e4c1290f81881a953e2648fd5a3fba513d4ff1
MS,68,obs__G_1p25__viscosity_acceleration_y,110,221184,0,False,,,,-0.08449833350923763,0.08449833350923763,0.08449833350923763,2,09ea366f2dc6c42d36965905b30d4b58832a4fc0cd2f20f1bca5139bdfa2d0c4
MS,69,obs__L_1p50__density_rate,110,221184,0,False,,,,-1.6357828875119944,1.6357828875119882,1.6357828875119944,0,ddc1b7a9db666962536b3b9558dc8f91a5552ba6fef44f2b6a9bc4e67dd27759
MS,70,obs__L_1p50__pressure_acceleration_x,110,221184,0,False,,,,-58.25042069669027,63.33328821907664,63.33328821907664,6,a83a90f05ce5da4e2c2fc4b61921fa9c56739a8038746e5cf7b78400b2c71910
