candidate_role,case_id,family,field_lineage_id,lambda,particle_count,edge_count,finite_state,finite_operator_outputs,deterministic_graph_construction,reciprocal_graph_semantics,duplicate_alias_self_edge_convention,periodic_minimum_image_correct,support_complete,zero_neighbor_count,minimum_nonself_neighbor_count,p01_nonself_neighbor_count,minimum_support_requirement_passed,weighted_covariance_rank_failure_count,support_completeness_fraction,operator_repeatability_bitwise,component_closure_bitwise,lambda_1_vendor_base_path_identity,graph_nesting_passed,scale_response_finite,case_scale_passed
PRIMARY,HMSO01R_A|PRIMARY|F1|9b0121f166d7fe06976fbebe9a191c783f584d4642eab46fd48553c06dfce45d,F1,HMSO01R_A|FIELD_LINEAGE|70dd50135b0ce37b393c6eae858eae2988f95a40a860753345e473ce01dd9d91,1.25,576,46656,True,True,True,True,True,True,True,0,80,80.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|9b0121f166d7fe06976fbebe9a191c783f584d4642eab46fd48553c06dfce45d,F1,HMSO01R_A|FIELD_LINEAGE|70dd50135b0ce37b393c6eae858eae2988f95a40a860753345e473ce01dd9d91,1.5,576,65088,True,True,True,True,True,True,True,0,112,112.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|761edfc74274280b5be4fe59a9801d7c1223c2f57bae75ad70a713f6e24ee2a6,F1,HMSO01R_A|FIELD_LINEAGE|17af857dc7e075f66db0acfe5114e05e0f490cc5340cc9cfe073ae813844b776,0.75,576,25920,True,True,True,True,True,True,True,0,44,44.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|761edfc74274280b5be4fe59a9801d7c1223c2f57bae75ad70a713f6e24ee2a6,F1,HMSO01R_A|FIELD_LINEAGE|17af857dc7e075f66db0acfe5114e05e0f490cc5340cc9cfe073ae813844b776,1.0,576,46656,True,True,True,True,True,True,True,0,80,80.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|761edfc74274280b5be4fe59a9801d7c1223c2f57bae75ad70a713f6e24ee2a6,F1,HMSO01R_A|FIELD_LINEAGE|17af857dc7e075f66db0acfe5114e05e0f490cc5340cc9cfe073ae813844b776,1.25,576,69696,True,True,True,True,True,True,True,0,120,120.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|761edfc74274280b5be4fe59a9801d7c1223c2f57bae75ad70a713f6e24ee2a6,F1,HMSO01R_A|FIELD_LINEAGE|17af857dc7e075f66db0acfe5114e05e0f490cc5340cc9cfe073ae813844b776,1.5,576,101952,True,True,True,True,True,True,True,0,176,176.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|1c3ba79b0f8b42b3ace0cd03d07aee91477b1c601678938adaed5d4dda46b415,F1,HMSO01R_A|FIELD_LINEAGE|724fd3a44cb8ec4985e45f721837e7f4eeea1666b35a166345e025918455e304,0.75,576,12096,True,True,True,True,True,True,True,0,20,20.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|1c3ba79b0f8b42b3ace0cd03d07aee91477b1c601678938adaed5d4dda46b415,F1,HMSO01R_A|FIELD_LINEAGE|724fd3a44cb8ec4985e45f721837e7f4eeea1666b35a166345e025918455e304,1.0,576,16704,True,True,True,True,True,True,True,0,28,28.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|1c3ba79b0f8b42b3ace0cd03d07aee91477b1c601678938adaed5d4dda46b415,F1,HMSO01R_A|FIELD_LINEAGE|724fd3a44cb8ec4985e45f721837e7f4eeea1666b35a166345e025918455e304,1.25,576,25920,True,True,True,True,True,True,True,0,44,44.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|1c3ba79b0f8b42b3ace0cd03d07aee91477b1c601678938adaed5d4dda46b415,F1,HMSO01R_A|FIELD_LINEAGE|724fd3a44cb8ec4985e45f721837e7f4eeea1666b35a166345e025918455e304,1.5,576,39744,True,True,True,True,True,True,True,0,68,68.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|19d2b988118623ed7e4c9f75c4b118503c0805f566ad8ddf0f5a97a99c7cf58a,F1,HMSO01R_A|FIELD_LINEAGE|092a3e161c8ce70f083c10130918ff7fb36de994b41e81b7dfb0e04366314a2c,0.75,576,25920,True,True,True,True,True,True,True,0,44,44.0,True,0,1.0,True,True,True,True,True,True
