arm,component,scope,scope_id,oracle_nrmse,mean_baseline_nrmse,improvement_over_mean_baseline,oracle_status,oracle_evaluable,oracle_not_evaluable_mechanism,mean_baseline_status,mean_baseline_evaluable,mean_baseline_not_evaluable_mechanism,improvement_status,improvement_evaluable,improvement_not_evaluable_mechanism,selected_oracles_by_outer_fold
MS,density_rate,FOLD,FOLD_5,0.010997403783430986,0.2502163213159631,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""knn5"", ""4"": ""ridge"", ""5"": ""knn5""}"
MS,pressure_gradient_acceleration,OVERALL,ALL,0.25235988894350103,0.8077751670606422,0.6875864730259087,EVALUABLE,True,,EVALUABLE,True,,EVALUABLE,True,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
MS,pressure_gradient_acceleration,FAMILY,F1,0.2837930430135897,1.2001574270435635,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
MS,pressure_gradient_acceleration,FAMILY,F2,0.16406151242305866,0.5070781180020737,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
MS,pressure_gradient_acceleration,FAMILY,F3,0.16568481090710688,0.8056185275113821,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
MS,pressure_gradient_acceleration,FAMILY,F4,0.3959001894302489,0.7182465956855496,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
MS,pressure_gradient_acceleration,FOLD,FOLD_0,0.21301524197636884,0.5103511130302729,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
MS,pressure_gradient_acceleration,FOLD,FOLD_1,0.6925105784131498,2.0265014661217853,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
MS,pressure_gradient_acceleration,FOLD,FOLD_2,0.14105159227764869,0.4817525012588801,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
MS,pressure_gradient_acceleration,FOLD,FOLD_3,0.12154439365988641,0.5571040065086921,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
MS,pressure_gradient_acceleration,FOLD,FOLD_4,0.09898810799724168,0.5292692583015801,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
